Effective date ,S&P 500
11/2/2016,1829.08
12/2/2016,1864.78
16/2/2016,1895.58
17/2/2016,1926.82
18/2/2016,1917.83
19/2/2016,1917.78
22/2/2016,1945.5
23/2/2016,1921.27
24/2/2016,1929.8
25/2/2016,1951.7
26/2/2016,1948.05
29/2/2016,1932.23
1/3/2016,1978.35
2/3/2016,1986.45
3/3/2016,1993.4
4/3/2016,1999.99
7/3/2016,2001.76
8/3/2016,1979.26
9/3/2016,1989.26
10/3/2016,1989.57
11/3/2016,2022.19
14/3/2016,2019.64
15/3/2016,2015.93
16/3/2016,2027.22
17/3/2016,2040.59
18/3/2016,2049.58
21/3/2016,2051.6
22/3/2016,2049.8
23/3/2016,2036.71
24/3/2016,2035.94
28/3/2016,2037.05
29/3/2016,2055.01
30/3/2016,2063.95
31/3/2016,2059.74
1/4/2016,2072.78
4/4/2016,2066.13
5/4/2016,2045.17
6/4/2016,2066.66
7/4/2016,2041.91
8/4/2016,2047.6
11/4/2016,2041.99
12/4/2016,2061.72
13/4/2016,2082.42
14/4/2016,2082.78
15/4/2016,2080.73
18/4/2016,2094.34
19/4/2016,2100.8
20/4/2016,2102.4
21/4/2016,2091.48
22/4/2016,2091.58
25/4/2016,2087.79
26/4/2016,2091.7
27/4/2016,2095.15
28/4/2016,2075.81
29/4/2016,2065.3
2/5/2016,2081.43
3/5/2016,2063.37
4/5/2016,2051.12
5/5/2016,2050.63
6/5/2016,2057.14
9/5/2016,2058.69
10/5/2016,2084.39
11/5/2016,2064.46
12/5/2016,2064.11
13/5/2016,2046.61
16/5/2016,2066.66
17/5/2016,2047.21
18/5/2016,2047.63
19/5/2016,2040.04
20/5/2016,2052.32
23/5/2016,2048.04
24/5/2016,2076.06
25/5/2016,2090.54
26/5/2016,2090.1
27/5/2016,2099.06
31/5/2016,2096.96
1/6/2016,2099.33
2/6/2016,2105.26
3/6/2016,2099.13
6/6/2016,2109.41
7/6/2016,2112.13
8/6/2016,2119.12
9/6/2016,2115.48
10/6/2016,2096.07
13/6/2016,2079.06
14/6/2016,2075.32
15/6/2016,2071.5
16/6/2016,2077.99
17/6/2016,2071.22
20/6/2016,2083.25
21/6/2016,2088.9
22/6/2016,2085.45
23/6/2016,2113.32
24/6/2016,2037.41
27/6/2016,2000.54
28/6/2016,2036.09
29/6/2016,2070.77
30/6/2016,2098.86
1/7/2016,2102.95
5/7/2016,2088.55
6/7/2016,2099.73
7/7/2016,2097.9
8/7/2016,2129.9
11/7/2016,2137.16
12/7/2016,2152.14
13/7/2016,2152.43
14/7/2016,2163.75
15/7/2016,2161.74
18/7/2016,2166.89
19/7/2016,2163.78
20/7/2016,2173.02
21/7/2016,2165.17
22/7/2016,2175.03
25/7/2016,2168.48
26/7/2016,2169.18
27/7/2016,2166.58
28/7/2016,2170.06
29/7/2016,2173.6
1/8/2016,2170.84
2/8/2016,2157.03
3/8/2016,2163.79
4/8/2016,2164.25
5/8/2016,2182.87
8/8/2016,2180.89
9/8/2016,2181.74
10/8/2016,2175.49
11/8/2016,2185.79
12/8/2016,2184.05
15/8/2016,2190.15
16/8/2016,2178.15
17/8/2016,2182.22
18/8/2016,2187.02
19/8/2016,2183.87
22/8/2016,2182.64
23/8/2016,2186.9
24/8/2016,2175.44
25/8/2016,2172.47
26/8/2016,2169.04
29/8/2016,2180.38
30/8/2016,2176.12
31/8/2016,2170.95
1/9/2016,2170.86
2/9/2016,2179.98
6/9/2016,2186.48
7/9/2016,2186.16
8/9/2016,2181.3
9/9/2016,2127.81
12/9/2016,2159.04
13/9/2016,2127.02
14/9/2016,2125.77
15/9/2016,2147.26
16/9/2016,2139.16
19/9/2016,2139.12
20/9/2016,2139.76
21/9/2016,2163.12
22/9/2016,2177.18
23/9/2016,2164.69
26/9/2016,2146.1
27/9/2016,2159.93
28/9/2016,2171.37
29/9/2016,2151.13
30/9/2016,2168.27
3/10/2016,2161.2
4/10/2016,2150.49
5/10/2016,2159.73
6/10/2016,2160.77
7/10/2016,2153.74
10/10/2016,2163.66
11/10/2016,2136.73
12/10/2016,2139.18
13/10/2016,2132.55
14/10/2016,2132.98
17/10/2016,2126.5
18/10/2016,2139.6
19/10/2016,2144.29
20/10/2016,2141.34
21/10/2016,2141.16
24/10/2016,2151.33
25/10/2016,2143.16
26/10/2016,2139.43
27/10/2016,2133.04
28/10/2016,2126.41
31/10/2016,2126.15
1/11/2016,2111.72
2/11/2016,2097.94
3/11/2016,2088.66
4/11/2016,2085.18
7/11/2016,2131.52
8/11/2016,2139.56
9/11/2016,2163.26
10/11/2016,2167.48
11/11/2016,2164.45
14/11/2016,2164.2
15/11/2016,2180.39
16/11/2016,2176.94
17/11/2016,2187.12
18/11/2016,2181.9
21/11/2016,2198.18
22/11/2016,2202.94
23/11/2016,2204.72
25/11/2016,2213.35
28/11/2016,2201.72
29/11/2016,2204.66
30/11/2016,2198.81
1/12/2016,2191.08
2/12/2016,2191.95
5/12/2016,2204.71
6/12/2016,2212.23
7/12/2016,2241.35
8/12/2016,2246.19
9/12/2016,2259.53
12/12/2016,2256.96
13/12/2016,2271.72
14/12/2016,2253.28
15/12/2016,2262.03
16/12/2016,2258.07
19/12/2016,2262.53
20/12/2016,2270.76
21/12/2016,2265.18
22/12/2016,2260.96
23/12/2016,2263.79
27/12/2016,2268.88
28/12/2016,2249.92
29/12/2016,2249.26
30/12/2016,2238.83
3/1/2017,2257.83
4/1/2017,2270.75
5/1/2017,2269
6/1/2017,2276.98
9/1/2017,2268.9
10/1/2017,2268.9
11/1/2017,2275.32
12/1/2017,2270.44
13/1/2017,2274.64
17/1/2017,2267.89
18/1/2017,2271.89
19/1/2017,2263.69
20/1/2017,2271.31
23/1/2017,2265.2
24/1/2017,2280.07
25/1/2017,2298.37
26/1/2017,2296.68
27/1/2017,2294.69
30/1/2017,2280.9
31/1/2017,2278.87
1/2/2017,2279.55
2/2/2017,2280.85
3/2/2017,2297.42
6/2/2017,2292.56
7/2/2017,2293.08
8/2/2017,2294.67
9/2/2017,2307.87
10/2/2017,2316.1
13/2/2017,2328.25
14/2/2017,2337.58
15/2/2017,2349.25
16/2/2017,2347.22
17/2/2017,2351.16
21/2/2017,2365.38
22/2/2017,2362.82
23/2/2017,2363.81
24/2/2017,2367.34
27/2/2017,2369.75
28/2/2017,2363.64
1/3/2017,2395.96
2/3/2017,2381.92
3/3/2017,2383.12
6/3/2017,2375.31
7/3/2017,2368.39
8/3/2017,2362.98
9/3/2017,2364.87
10/3/2017,2372.6
13/3/2017,2373.47
14/3/2017,2365.45
15/3/2017,2385.26
16/3/2017,2381.38
17/3/2017,2378.25
20/3/2017,2373.47
21/3/2017,2344.02
22/3/2017,2348.45
23/3/2017,2345.96
24/3/2017,2343.98
27/3/2017,2341.59
28/3/2017,2358.57
29/3/2017,2361.13
30/3/2017,2368.06
31/3/2017,2362.72
3/4/2017,2358.84
4/4/2017,2360.16
5/4/2017,2352.95
6/4/2017,2357.49
7/4/2017,2355.54
10/4/2017,2357.16
11/4/2017,2353.78
12/4/2017,2344.93
13/4/2017,2328.95
17/4/2017,2349.01
18/4/2017,2342.19
19/4/2017,2338.17
20/4/2017,2355.84
21/4/2017,2348.69
24/4/2017,2374.15
25/4/2017,2388.61
26/4/2017,2387.45
27/4/2017,2388.77
28/4/2017,2384.2
1/5/2017,2388.33
2/5/2017,2391.17
3/5/2017,2388.13
4/5/2017,2389.52
5/5/2017,2399.29
8/5/2017,2399.38
9/5/2017,2396.92
10/5/2017,2399.63
11/5/2017,2394.44
12/5/2017,2390.9
15/5/2017,2402.32
16/5/2017,2400.67
17/5/2017,2357.03
18/5/2017,2365.72
19/5/2017,2381.73
22/5/2017,2394.02
23/5/2017,2398.42
24/5/2017,2404.39
25/5/2017,2415.07
26/5/2017,2415.82
30/5/2017,2412.91
31/5/2017,2411.8
1/6/2017,2430.06
2/6/2017,2439.07
5/6/2017,2436.1
6/6/2017,2429.33
7/6/2017,2433.14
8/6/2017,2433.79
9/6/2017,2431.77
12/6/2017,2429.39
13/6/2017,2440.35
14/6/2017,2437.92
15/6/2017,2432.46
16/6/2017,2433.15
19/6/2017,2453.46
20/6/2017,2437.03
21/6/2017,2435.61
22/6/2017,2434.5
23/6/2017,2438.3
26/6/2017,2439.07
27/6/2017,2419.38
28/6/2017,2440.69
29/6/2017,2419.7
30/6/2017,2423.41
3/7/2017,2429.01
5/7/2017,2432.54
6/7/2017,2409.75
7/7/2017,2425.18
10/7/2017,2427.43
11/7/2017,2425.53
12/7/2017,2443.25
13/7/2017,2447.83
14/7/2017,2459.27
17/7/2017,2459.14
18/7/2017,2460.61
19/7/2017,2473.83
20/7/2017,2473.45
21/7/2017,2472.54
24/7/2017,2469.91
25/7/2017,2477.13
26/7/2017,2477.83
27/7/2017,2475.42
28/7/2017,2472.1
31/7/2017,2470.3
1/8/2017,2476.35
2/8/2017,2477.57
3/8/2017,2472.16
4/8/2017,2476.83
7/8/2017,2480.91
8/8/2017,2474.92
9/8/2017,2474.02
10/8/2017,2438.21
11/8/2017,2441.32
14/8/2017,2465.84
15/8/2017,2464.61
16/8/2017,2468.11
17/8/2017,2430.01
18/8/2017,2425.55
21/8/2017,2428.37
22/8/2017,2452.51
23/8/2017,2444.04
24/8/2017,2438.97
25/8/2017,2443.05
28/8/2017,2444.24
29/8/2017,2446.3
30/8/2017,2457.59
31/8/2017,2471.65
1/9/2017,2476.55
5/9/2017,2457.85
6/9/2017,2465.54
7/9/2017,2465.1
8/9/2017,2461.43
11/9/2017,2488.11
12/9/2017,2496.48
13/9/2017,2498.37
14/9/2017,2495.62
15/9/2017,2500.23
